,mse,hypers
0,"[0.7868427634239197, 0.12231526523828506, 0.1279963105916977, 0.7790712714195251, 0.8212923407554626, 0.7983571290969849, 0.12412890046834946, 0.8573858737945557, 0.7568646669387817, 0.8334787487983704, 0.8105425834655762, 0.8047258257865906, 0.13064472377300262, 0.8217820525169373, 0.11471344530582428, 0.8009105920791626, 0.765339732170105, 0.8689625859260559, 0.7821446657180786, 0.8137572407722473]","{'gan_niters': 10000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 16, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 12}"
1,"[0.8178132176399231, 0.7863682508468628, 0.007273429073393345, 0.8060407638549805, 0.817001461982727, 0.8174946308135986, 0.01135313417762518, 0.8370264172554016, 0.8397002816200256, 0.8108527660369873, 0.8138671517372131, 0.8179951906204224, 0.8178374767303467, 0.7715054154396057, 0.8189767003059387, 0.8090401887893677, 0.8072123527526855, 0.016106603667140007, 0.8131101727485657, 0.02555139549076557]","{'gan_niters': 25000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 16, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 12}"
2,"[0.8068164587020874, 0.8123703002929688, 0.8126094341278076, 2.120072394973249e-06, 0.8125582337379456, 0.8120765686035156, 0.8126776218414307, 0.8063271641731262, 2.5396416276635136e-06, 0.814505398273468, 3.388417462701909e-05, 0.8122769594192505, 0.8135169148445129, 0.8122993111610413, 0.812667965888977, 0.8128110766410828, 0.812200665473938, 0.8134045004844666, 0.8237393498420715, 2.2242033992370125e-06]","{'gan_niters': 50000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 16, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 12}"
3,"[4.06991018664371e-09, 0.8128524422645569, 0.8127652406692505, 0.8126958608627319, 0.8127244114875793, 0.8127471804618835, 0.777363121509552, 0.8127357959747314, 0.8127764463424683, 0.8232802748680115, 0.8399176597595215, 0.8128327131271362, 1.249303416273051e-08, 0.8127283453941345, 0.8083915710449219, 0.8127636313438416, 0.8127668499946594, 3.083699073869184e-09, 0.8127027750015259, 1.3280649469038508e-08]","{'gan_niters': 75000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 16, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 12}"
4,"[0.8127744197845459, 0.8084324598312378, 0.8127661347389221, 0.8127717971801758, 5.6742530812892156e-11, 0.8128737211227417, 0.8127691149711609, 0.8524845242500305, 3.2143694372877007e-09, 0.8127620816230774, 0.8127691745758057, 0.8257490992546082, 0.8127703070640564, 0.7594015598297119, 0.8127703666687012, 0.8127692937850952, 0.8127592206001282, 7.820839809102864e-11, 5.408408443319246e-11, 0.8127738237380981]","{'gan_niters': 100000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 16, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 12}"
