,mse,hypers
0,"[0.17484891414642334, 0.16073854267597198, 0.27185142040252686, 0.24496610462665558, 0.19037656486034393, 0.20664991438388824, 0.23053522408008575, 0.19805963337421417, 0.17730802297592163, 0.14301037788391113, 0.08015218377113342, 0.19179071485996246, 0.19090530276298523, 0.21962392330169678, 0.1809980571269989, 0.1577085554599762, 0.17168796062469482, 0.1952981799840927, 0.18690402805805206, 0.20935405790805817]","{'gan_niters': 1000, 'gan_gamma': 0.999, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 10, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
1,"[0.08091077208518982, 0.001273106667213142, 0.0006089780945330858, 0.0004953935858793557, 0.009529353119432926, 0.001438395120203495, 0.062175456434488297, 0.005576480180025101, 0.004524424206465483, 0.0004035508318338543, 0.0012511329259723425, 0.001102793961763382, 0.0004615844809450209, 0.001196832861751318, 0.001828295411542058, 0.17892751097679138, 0.0007075294270180166, 0.0020450311712920666, 0.0010566182900220156, 0.004755695350468159]","{'gan_niters': 2000, 'gan_gamma': 0.999, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 10, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
2,"[1.660758425714448e-05, 2.070787786578876e-06, 1.2091534244973445e-06, 1.3218872254583403e-06, 1.68260896771244e-06, 2.801713526423555e-05, 1.2714483091258444e-05, 5.277532636682736e-06, 4.816219643544173e-06, 1.1391307452868205e-06, 7.401399216178106e-06, 7.2865614129113965e-06, 5.737019091611728e-05, 7.1903778007254004e-06, 6.274628958635731e-07, 1.6607371435384266e-05, 1.6750209397287108e-06, 1.0322011803509668e-05, 9.955398127203807e-06, 2.6770233034767443e-06]","{'gan_niters': 5000, 'gan_gamma': 0.999, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 10, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
3,"[2.818130269588437e-06, 4.380001250581245e-09, 1.276332994848417e-07, 2.3374084321403643e-06, 1.021479123508584e-09, 2.4932256259546648e-09, 7.936556357890368e-06, 7.719216227997094e-06, 7.242111223604297e-06, 6.153824116950091e-09, 1.3788937991421335e-08, 2.153337064214611e-09, 5.120778023837147e-09, 1.462152265929717e-08, 9.97203102315325e-08, 9.238666720534638e-09, 3.479793804217479e-07, 9.707043773232726e-07, 3.4499987311420455e-09, 2.4876642967797125e-09]","{'gan_niters': 10000, 'gan_gamma': 0.999, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 10, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
4,"[3.1628173413622562e-09, 2.5486093235826957e-09, 4.858635715976334e-09, 2.6666302499478434e-09, 3.641363477413506e-08, 9.279390837946266e-07, 6.799317775474378e-10, 7.193241799541283e-06, 3.958262606573726e-10, 7.90932335803518e-06, 2.8135814318375196e-06, 3.4695764039582855e-09, 2.908010173996445e-06, 6.666999841087318e-09, 3.2551219497634065e-09, 1.6847214112658548e-07, 5.2174392806136893e-08, 7.507173449994298e-06, 3.8271457469818415e-07, 4.610286818973464e-09]","{'gan_niters': 20000, 'gan_gamma': 0.999, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 10, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
