,mse,hypers
0,"[0.13042812049388885, 0.06417343020439148, 0.1657797247171402, 0.1709519773721695, 0.17512017488479614, 0.12180547416210175, 0.17304742336273193, 0.14046859741210938, 0.15259087085723877, 0.12585905194282532, 0.19346319139003754, 0.05792432650923729, 0.06745167076587677, 0.17886392772197723, 0.18198372423648834, 0.07767974585294724, 0.18627101182937622, 0.1651947796344757, 0.15482492744922638, 0.10217256844043732]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 1000, 'train_gamma': 0.999}"
1,"[0.03315220773220062, 0.006466000806540251, 0.015459072776138783, 0.003024745499715209, 0.0007755527622066438, 0.0034167999401688576, 0.004569140262901783, 0.0005360999493859708, 0.0014090166660025716, 0.0012867222540080547, 0.0016195104690268636, 0.0011334115406498313, 0.017453068867325783, 0.0012778842356055975, 0.0009565588552504778, 0.01224061381071806, 0.0066551584750413895, 0.0011537221726030111, 0.0018995841965079308, 0.0036869358737021685]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 2000, 'train_gamma': 0.999}"
2,"[4.086726221430581e-06, 1.0136152468476212e-06, 1.6272366565317498e-06, 7.226142315630568e-07, 6.721228942296875e-07, 5.725640335185744e-07, 2.7160049285157584e-06, 3.006822907991591e-06, 1.26032057323755e-06, 2.458715471220785e-06, 2.228465064035845e-06, 2.299355173818185e-06, 4.371569048089441e-06, 1.2172740753157996e-06, 2.9091615942888893e-06, 1.7500607327747275e-06, 2.3004474769550143e-06, 1.621041405996948e-06, 1.8461026911609224e-06, 3.511725253702025e-06]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 5000, 'train_gamma': 0.999}"
3,"[2.232506624011421e-08, 2.667156877578236e-07, 2.4654823960190697e-08, 7.13296017806897e-08, 1.1791426146601225e-07, 3.0247841209529724e-07, 1.742400712601011e-08, 1.836906307062236e-07, 1.7458560819250124e-07, 1.0896214774902546e-07, 3.051818353583258e-08, 2.2545654587702302e-07, 4.897621153077125e-08, 2.452354124216072e-07, 5.170365469098215e-08, 1.0352171386784903e-07, 2.5858483354568307e-08, 1.526887700720181e-07, 3.702700368535261e-08, 1.1701130375740831e-07]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 10000, 'train_gamma': 0.999}"
4,"[1.0755265122952551e-07, 4.530007657876922e-08, 2.94760098995539e-07, 2.285153044567778e-08, 1.1714168834942029e-07, 1.7992903167396435e-07, 1.0478876788511116e-07, 2.6593347968173475e-08, 1.6270645630811487e-07, 2.5113461532555448e-08, 2.01551468848038e-08, 1.6307595274156483e-08, 4.782956608551103e-08, 9.374705456366428e-08, 2.5590691166144097e-07, 2.503422535937716e-07, 2.61812090229796e-07, 7.207385266383426e-08, 3.446673346729767e-08, 1.4098644385285297e-07]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 20000, 'train_gamma': 0.999}"
