,mse,hypers
0,"[0.002097155898809433, 0.813778281211853, 0.8252614140510559, 0.04993763193488121, 0.05230000242590904, 0.02681061625480652, 0.009596440941095352, 0.013233504258096218, 0.008938322775065899, 0.8052625060081482, 0.007198769599199295, 0.816945493221283, 0.04451408237218857, 0.05921865999698639, 0.04866012558341026, 0.8259099125862122, 0.02408507838845253, 0.04057328775525093, 0.8241112232208252, 0.0168935377150774]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 10000}"
1,"[0.03643536940217018, 0.036799490451812744, 0.0539642833173275, 0.05221926048398018, 0.8149853348731995, 0.03979643061757088, 0.04439682513475418, 0.8162212371826172, 0.814415454864502, 0.04906405135989189, 0.03161640837788582, 0.046451386064291, 0.05123096704483032, 0.05113580822944641, 0.8153308629989624, 0.8108869194984436, 0.034849341958761215, 0.8154926300048828, 0.04258212074637413, 0.03922785073518753]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 25000}"
2,"[0.0008038771338760853, 0.0001589715975569561, 2.8721335183945484e-05, 0.00011720153270289302, 7.489497420465341e-06, 0.0007162787951529026, 0.812495231628418, 3.859299613395706e-05, 0.0004327200003899634, 0.8126164078712463, 0.0007372251129709184, 4.885734961135313e-05, 0.8125123381614685, 0.8128831386566162, 0.8125699758529663, 0.0007195071084424853, 6.757035589544103e-05, 0.8131248354911804, 9.061956370715052e-05, 0.00016094268357846886]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 50000}"
3,"[0.8127598762512207, 2.1967146324186615e-07, 0.8127280473709106, 4.5400202708378856e-08, 0.8127713203430176, 8.987099135993049e-06, 3.4126546211155073e-07, 5.987240001559258e-07, 3.8042792311898666e-06, 0.8127215504646301, 6.8110698521195445e-06, 0.8127392530441284, 2.8402459406606795e-07, 7.028401796560502e-06, 8.075953701336402e-07, 8.703093357098624e-08, 2.3203301680041477e-07, 2.4980477064673323e-06, 3.103363894751965e-07, 0.8127423524856567]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 75000}"
4,"[7.625241664754867e-07, 3.0037595024623442e-06, 6.034563426737805e-08, 0.8127371072769165, 0.8127420544624329, 1.7795314022350794e-07, 2.038435731321897e-08, 9.589629144102219e-07, 0.8127410411834717, 3.738416012311063e-07, 0.8127412796020508, 9.75123892743568e-09, 2.640650222929253e-07, 1.830251108003722e-06, 1.3852645963652321e-07, 9.463587957725395e-08, 0.8127420544624329, 1.537157004349865e-06, 7.80826994173367e-08, 0.8127400875091553]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 100000}"
