,mse,hypers
0,"[0.11291784048080444, 0.11361768841743469, 0.11452584713697433, 0.8128485679626465, 0.11605852842330933]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 1000}"
1,"[0.812748908996582, 0.0897606611251831, 0.08537183701992035, 0.08675481379032135, 0.08304443210363388]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 5000}"
2,"[0.07442836463451385, 0.8127344250679016, 0.03589439019560814, 0.028313135728240013, 0.021142486482858658]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 10000}"
3,"[0.028806626796722412, 0.014547517523169518, 0.009287544526159763, 0.01539129950106144, 0.013516762293875217]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 20000}"
4,"[0.0029854332096874714, 0.22114458680152893, 0.18805250525474548, 0.8127367496490479, 0.0047081587836146355]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 50000}"
5,"[1.118676573241828e-05, 0.8127408623695374, 0.0002490040205884725, 0.24916677176952362, 0.0011592343216761947]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 12, 'train_niters': 100000}"
