,mse,hypers
0,0.1458767056465149,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 1000}"
1,3.690527989874681e-07,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 5000}"
2,2.7703711324988944e-08,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 10000}"
3,9.999210348610177e-10,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 20000}"
4,3.785751157003858e-10,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 50000}"
5,4.022092936484256e-10,"{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 100000}"
