,mse,hypers
0,"[0.08168023079633713, 0.1342054158449173, 0.09557276219129562, 0.20996619760990143, 0.14793173968791962, 0.0977775976061821, 0.08951493352651596, 0.09972365945577621, 0.10009339451789856, 0.22192887961864471, 0.11436369270086288, 0.0815114676952362, 0.09385334700345993, 0.12612532079219818, 0.09569542109966278, 0.08936630934476852, 0.09133197367191315, 0.10125002264976501, 0.22608396410942078, 0.1764250546693802]","{'gan_niters': 10, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 4, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
1,"[0.05309734493494034, 0.052891138941049576, 0.043423183262348175, 0.05214541777968407, 0.040412552654743195, 0.056558769196271896, 0.0489184632897377, 0.0450589582324028, 0.04384040832519531, 0.05042865872383118, 0.06883426010608673, 0.2861301898956299, 0.05543917417526245, 0.0471784770488739, 0.040871817618608475, 0.30167272686958313, 0.05512797459959984, 0.09862015396356583, 0.0453055165708065, 0.06015053391456604]","{'gan_niters': 25, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 4, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
2,"[0.024922145530581474, 0.03264804184436798, 0.33310696482658386, 0.024706417694687843, 0.029655659571290016, 0.02612626925110817, 0.03297525644302368, 0.0369332991540432, 0.03186187893152237, 0.02078443206846714, 0.018720567226409912, 0.03171808272600174, 0.036018531769514084, 0.019660018384456635, 0.03436894714832306, 0.03238648176193237, 0.01575123518705368, 0.01869494467973709, 0.323498010635376, 0.027995986863970757]","{'gan_niters': 50, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 4, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
3,"[0.008749514818191528, 0.34955739974975586, 0.01146120298653841, 0.014206785708665848, 0.018159138038754463, 0.007501879241317511, 0.0026266819331794977, 0.017206059768795967, 0.37297266721725464, 0.006078329402953386, 0.003351548919454217, 0.003208502661436796, 0.005659795831888914, 0.0035876177717000246, 0.010518373921513557, 0.0032509032171219587, 0.014729900285601616, 0.010271752253174782, 0.015264340676367283, 0.0067413621582090855]","{'gan_niters': 75, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 4, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
4,"[0.0011171608930453658, 0.0006606041570194066, 0.0006461698794737458, 0.0010703356238082051, 0.0006924510234966874, 0.0031757999677211046, 0.0016590700251981616, 0.002690061694011092, 0.0014934777282178402, 0.002153009409084916, 0.002417977899312973, 0.41378217935562134, 0.0025616511702537537, 0.001939165755175054, 0.0005122697330079973, 0.0008463874110020697, 0.0014474923955276608, 0.0019665283616632223, 0.38804706931114197, 0.002995989751070738]","{'gan_niters': 100, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 4, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
