MSE
8.044996491207712e-08
4.0253148037017183e-10
4.5735690790138506e-09
4.348572169021736e-09
1.7039603505963896e-08
1.0720152765486546e-08
4.1408750206528566e-08
6.639519511963954e-08
1.798204474212639e-09
2.6166334876620567e-08
