,obs_every,mse_mean,mse_std
0,20,4.626225490937941e-05,2.8350825433623015e-07
1,10,6.790056795580313e-05,3.1074309249920367e-07
2,8,6.710917659802362e-05,3.508355938615132e-07
3,4,6.483653705799953e-05,3.201273172397703e-07
4,2,6.491200911113992e-05,2.8979180129196455e-07
5,1,6.501729076262564e-05,3.0785046376938933e-07
