,mse,hypers
0,"[0.1458767056465149, 0.17551594972610474, 0.1214200034737587, 0.1640406996011734, 0.1783609837293625]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 1000}"
1,"[3.690527989874681e-07, 3.7939594221825246e-07, 9.60993702392443e-07, 3.7708511513301346e-07, 9.571911050443305e-07]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 5000}"
2,"[2.7703711324988944e-08, 4.385242746707263e-08, 6.232298233044276e-08, 1.2718420094870453e-08, 9.170371129130217e-09]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 10000}"
3,"[9.999210348610177e-10, 9.266791778372863e-10, 3.931726499928345e-09, 2.3421886652386092e-09, 1.3674970045229884e-09]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 20000}"
4,"[3.785751157003858e-10, 4.490560701064794e-10, 2.362154361001956e-10, 1.1610750555446359e-10, 1.6757438492387422e-10]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 50000}"
5,"[4.022092936484256e-10, 1.223830481400512e-10, 1.041032537951736e-10, 3.2997108517784923e-11, 3.975976145542681e-11]","{'model_n_hidden_units': 64, 'model_n_hidden_layers': 2, 'train_niters': 100000}"
