,mse,hypers
0,0.1891838014125824,"{'gan_niters': 1000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
1,3.096386791412442e-08,"{'gan_niters': 5000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
2,6.0907257015685445e-09,"{'gan_niters': 10000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
3,3.267293768871582e-09,"{'gan_niters': 20000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
4,9.881341300754798e-10,"{'gan_niters': 50000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
5,6.245898111956194e-05,"{'gan_niters': 100000, 'disc_n_hidden_units': 64, 'disc_n_hidden_layers': 8, 'gen_n_hidden_units': 64, 'gen_n_hidden_layers': 2}"
