,obs_every,mse_mean,mse_std
0,20,5.217618599999696e-05,1.4420979062524537e-06
1,10,1.2044142295053461e-06,5.694046516547651e-08
2,8,5.4824434414513236e-08,2.5817481895794044e-09
3,4,9.00914997714608e-08,2.0410422383208433e-08
4,2,1.2238815685350347e-07,4.590824440264724e-08
5,1,9.800823050909457e-08,1.9842643480198125e-08
