y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
2.021587241307347903e-14 2.226049806053465952e-34 1.777839416990691090e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.589292246274055017e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.862807365832878170e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.054557883895367032e-02 9.878875470412858828e-06 1.775424586251397874e-01 0.000000000000000000e+00 9.999420842626848271e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.523861648546785067e-05 -8.884807685445174312e-10 0.000000000000000000e+00 -8.884807685445174312e-10 9.921444054028654427e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.519133463213460360e-06 1.054527346420740946e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.898567424427083761e-02 1.347676274187363965e-04 1.769039938349588059e-01 0.000000000000000000e+00 9.997858487893706014e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.081908423874389896e-04 -4.496609804658739964e-08 0.000000000000000000e+00 -4.496609804658739964e-08 1.838486077114267097e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.134422860142614683e-05 3.898150028900437131e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.266416643727821978e-02 7.588063603666323669e-04 1.757463537300069933e-01 0.000000000000000000e+00 9.994904794541938919e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.175434591648847910e-03 -6.057419558524182976e-07 0.000000000000000000e+00 -6.057419558524182976e-07 5.780802944012516667e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.421723482814727972e-04 9.264057361745806074e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.789178025409327022e-01 2.813958288338060110e-03 1.740033178001894054e-01 0.000000000000000000e+00 9.990129620892996831e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.377914073883619819e-03 -4.382441321219609419e-06 0.000000000000000000e+00 -4.382441321219609419e-06 7.844260359894234279e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.249924060188901953e-03 1.788297016728878919e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.050741230036028151e-01 8.120554866122758897e-03 1.716838385300490100e-01 0.000000000000000000e+00 9.983025007030223996e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.271217376573404931e-02 -2.188401568386097115e-05 0.000000000000000000e+00 -2.188401568386097115e-05 6.403494903955966691e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.528295617021075161e-03 3.048168764012739174e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.784493906250171791e-01 1.977930072091049069e-02 1.688774864314420976e-01 0.000000000000000000e+00 9.972867212073092125e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.121804571121234925e-02 -8.522579081274766826e-05 0.000000000000000000e+00 -8.522579081274766826e-05 3.693668151353023086e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.336862062457270697e-03 4.778105936207722171e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.063465227694476489e-01 4.259089248782926829e-02 1.657305207271511094e-01 0.000000000000000000e+00 9.958423731455344763e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.791548146777155737e-02 -2.774244412459999894e-04 0.000000000000000000e+00 -2.774244412459999894e-04 1.648997817997887132e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.724981352970699974e-02 7.049276244031449368e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.855074485118558991e-01 8.175718658972926101e-02 1.624977721232578887e-01 0.000000000000000000e+00 9.938229042255891654e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.319161704504517030e-01 -7.627739716400079367e-04 0.000000000000000000e+00 -7.627739716400079367e-04 5.795691676026455008e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.154024581224654927e-02 9.826535702095622327e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.315853268928576902e+00 1.434692509158116969e-01 1.592500537118927972e-01 0.000000000000000000e+00 9.909335835295502992e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.344859287599062869e-01 -1.836236682518294040e-03 0.000000000000000000e+00 -1.836236682518294040e-03 1.687048527313747049e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.228386821898568793e-02 1.310498745174585977e+00 0.000000000000000000e+00 0.000000000000000000e+00
