# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 2.491837828471336988e-34 2.705400508596466080e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.835759083069220948e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.147916573873454098e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.428240184538776100e-03 7.974159889513418332e-07 2.704156544009667096e-01 0.000000000000000000e+00 9.999987826757017473e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.102623708500639102e-06 -1.525932999220447075e-11 0.000000000000000000e+00 -1.525932999220447075e-11 6.103634818028283250e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.922082632984095324e-07 2.428238706568824814e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.214115953933537009e-02 1.991696619622473970e-05 2.699208760516627059e-01 0.000000000000000000e+00 9.999939116279884521e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.755853126213218942e-05 -1.909377764792869165e-09 0.000000000000000000e+00 -1.909377764792869165e-09 3.802941497507657162e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.227539732737579079e-05 1.214112258503029056e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.399507290269083298e-02 1.558269243073249013e-04 2.688237995178313078e-01 0.000000000000000000e+00 9.999829163467929272e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.159370200458165991e-04 -4.201143911923690981e-08 0.000000000000000000e+00 -4.201143911923690981e-08 2.321251044048485016e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.571659644372876015e-05 3.399478287675956889e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.284608820098582849e-02 7.129407515753983940e-04 2.669271183295632843e-01 0.000000000000000000e+00 9.999630687193454825e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.905814916025862567e-04 -4.150592049205751899e-07 0.000000000000000000e+00 -4.150592049205751899e-07 4.834113562422493659e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.352951774346481228e-04 7.284475059135002428e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.335500236901576987e-01 2.382967092407500213e-03 2.640943541699536934e-01 0.000000000000000000e+00 9.999304842942871030e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.324593183042168047e-03 -2.573580648528866106e-06 0.000000000000000000e+00 -2.573580648528866106e-06 5.356674623890732783e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.441287435026594038e-03 1.335454677561238868e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.209623252004996041e-01 6.472616889027629772e-03 2.602748986537232190e-01 0.000000000000000000e+00 9.998774927864809703e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.083081461440569576e-03 -1.175845273076402075e-05 0.000000000000000000e+00 -1.175845273076402075e-05 3.904510186719538766e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.861761865596018053e-03 2.209494420224580868e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.399379833889890068e-01 1.516294685602355072e-02 2.555185838120834774e-01 0.000000000000000000e+00 9.997863359071852418e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.144450099811425967e-02 -4.330240822571928037e-05 0.000000000000000000e+00 -4.330240822571928037e-05 2.106628516994868124e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.879286085415846394e-03 3.399053677350165059e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.929032108135004142e-01 3.147786345062018876e-02 2.500511195651944907e-01 0.000000000000000000e+00 9.996192073674874390e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.495355231901528720e-02 -1.338074861278714116e-04 0.000000000000000000e+00 -1.338074861278714116e-04 8.875385937488031472e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.799329919628759114e-02 4.928259862077133957e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.798554005853233440e-01 5.900614429787816306e-02 2.441855653964515871e-01 0.000000000000000000e+00 9.993030208721147556e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.523879548013260643e-02 -3.563765352684536837e-04 0.000000000000000000e+00 -3.563765352684536837e-04 3.030444503597946984e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.274318867058773064e-02 6.796796818649097904e-01 0.000000000000000000e+00 0.000000000000000000e+00
