,mse_mean,mse_std,obs_every
0,0.0412171334028244,0.0,20
1,0.009615788236260414,0.0,10
2,0.0039904979057610035,0.0,8
3,0.01106706727296114,0.0,4
4,0.008157318457961082,0.0,2
5,0.01071656309068203,0.0,1
