,obs_every,mse_mean,mse_std
0,4,5.952519422862679e-05,1.0273534415236827e-06
1,8,6.116822842159309e-05,2.830197572305924e-07
2,10,5.822232851642184e-05,4.2624871724143663e-07
3,20,0.00022710365592502058,2.1807569790975344e-06
4,2,6.025347101967782e-05,7.209522967039523e-07
5,1,5.913299974054098e-05,6.8474867231291e-07
